name@price@price_after_sell
Glock-18 | Catacombs (Minimal Wear)@0.32@0.3136
Glock-18 | Death Rattle (Field-Tested)@0.14@0.13720000000000002
Glock-18 | Death Rattle (Minimal Wear)@0.16@0.1568
Glock-18 | Death Rattle (Well-Worn)@0.49@0.48019999999999996
Glock-18 | Fade (Factory New)@2100.00@2058.0
Glock-18 | Grinder (Factory New)@2.02@1.9796
Glock-18 | Grinder (Minimal Wear)@1.35@1.323
Glock-18 | Ironwork (Battle-Scarred)@0.28@0.27440000000000003
Glock-18 | Ironwork (Factory New)@7.00@6.859999999999999
Glock-18 | Ironwork (Field-Tested)@0.49@0.48019999999999996
Glock-18 | Ironwork (Well-Worn)@0.49@0.48019999999999996
Glock-18 | Night (Factory New)@43.99@43.1102
Glock-18 | Night (Well-Worn)@1.10@1.078
Glock-18 | Reactor (Factory New)@28.95@28.371
Glock-18 | Reactor (Minimal Wear)@18.00@17.64
Glock-18 | Royal Legion (Field-Tested)@1.90@1.8619999999999999
Glock-18 | Steel Disruption (Minimal Wear)@2.82@2.7636
Glock-18 | Twilight Galaxy (Minimal Wear)@150.00@147.0
Glock-18 | Wasteland Rebel (Field-Tested)@4.80@4.704
Glock-18 | Wasteland Rebel (Minimal Wear)@3.98@3.9004
Glock-18 | Water Elemental (Battle-Scarred)@4.51@4.4197999999999995
Glock-18 | Water Elemental (Field-Tested)@3.79@3.7142
Glock-18 | Water Elemental (Minimal Wear)@7.02@6.879599999999999
Glock-18 | Water Elemental (Well-Worn)@5.96@5.8408
Glock-18 | Weasel (Battle-Scarred)@0.31@0.3038
Glock-18 | Weasel (Factory New)@22.00@21.56
Glock-18 | Weasel (Minimal Wear)@1.70@1.666
Glock-18 | Wraiths (Factory New)@9.00@8.82
Glock-18 | Wraiths (Field-Tested)@0.38@0.3724
Glove Case@3.78@3.7043999999999997
Guardian 2 Pin@8.00@7.84
Guardian Elite Pin@45.99@45.0702
Guardian Pin@4.98@4.880400000000001
Huntsman Weapon Case@7.59@7.4382
M249 | Blizzard Marbleized (Field-Tested)@9.00@8.82
M249 | Contrast Spray (Battle-Scarred)@0.50@0.49
M249 | Contrast Spray (Well-Worn)@0.54@0.5292
M249 | Gator Mesh (Field-Tested)@0.30@0.294
M249 | Gator Mesh (Minimal Wear)@0.40@0.392
M249 | Impact Drill (Field-Tested)@2.00@1.96
M249 | Impact Drill (Minimal Wear)@2.00@1.96
M249 | Magma (Factory New)@2.00@1.96
M249 | Magma (Field-Tested)@1.90@1.8619999999999999
M249 | Nebula Crusader (Field-Tested)@0.95@0.9309999999999999
M249 | Nebula Crusader (Minimal Wear)@1.56@1.5288
M249 | Nebula Crusader (Well-Worn)@0.89@0.8722
M249 | Spectre (Factory New)@0.70@0.6859999999999999
M249 | System Lock (Factory New)@6.00@5.88
M249 | System Lock (Field-Tested)@0.38@0.3724
M249 | System Lock (Minimal Wear)@0.32@0.3136
M4A1-S | Atomic Alloy (Field-Tested)@37.99@37.2302
M4A1-S | Atomic Alloy (Minimal Wear)@59.99@58.7902
M4A1-S | Atomic Alloy (Well-Worn)@34.90@34.202
M4A1-S | Basilisk (Field-Tested)@2.99@2.9302
M4A1-S | Basilisk (Minimal Wear)@5.12@5.0176
M4A1-S | Blood Tiger (Factory New)@24.00@23.52
M4A1-S | Blood Tiger (Field-Tested)@3.41@3.3418
M4A1-S | Blood Tiger (Minimal Wear)@3.51@3.4397999999999995
M4A1-S | Boreal Forest (Battle-Scarred)@0.12@0.1176
M4A1-S | Boreal Forest (Factory New)@3.35@3.283
M4A1-S | Boreal Forest (Field-Tested)@0.15@0.147
M4A1-S | Boreal Forest (Minimal Wear)@0.34@0.3332
M4A1-S | Boreal Forest (Well-Worn)@0.16@0.1568
M4A1-S | Chantico's Fire (Minimal Wear)@49.90@48.902
M4A1-S | Cyrex (Field-Tested)@15.00@14.7
M4A1-S | Cyrex (Minimal Wear)@22.00@21.56
M4A1-S | Flashback (Battle-Scarred)@0.99@0.9702
M4A1-S | Flashback (Field-Tested)@0.99@0.9702
M4A1-S | Flashback (Well-Worn)@0.99@0.9702
M4A1-S | Golden Coil (Minimal Wear)@80.00@78.4
M4A1-S | Hyper Beast (Battle-Scarred)@15.40@15.092
M4A1-S | Icarus Fell (Factory New)@527.00@516.46
M4A1-S | Icarus Fell (Minimal Wear)@499.99@489.9902
