name@price@price_after_sell
'Blueberries' Buckshot | NSWC SEAL@4.11@3.9045
★ Butterfly Knife | Night (Minimal Wear)@1109.07@1053.6164999999999
★ Butterfly Knife | Night (Well-Worn)@1324.86@1258.6169999999997
★ Butterfly Knife | Rust Coat (Battle-Scarred)@869.00@825.55
★ Butterfly Knife | Rust Coat (Well-Worn)@834.27@792.5564999999999
★ Butterfly Knife | Safari Mesh (Field-Tested)@593.12@563.4639999999999
★ Butterfly Knife | Safari Mesh (Minimal Wear)@680.00@646.0
★ Butterfly Knife | Safari Mesh (Well-Worn)@614.48@583.756
★ Butterfly Knife | Scorched (Battle-Scarred)@684.46@650.237
★ Butterfly Knife | Scorched (Field-Tested)@635.00@603.25
★ Butterfly Knife | Scorched (Minimal Wear)@1267.27@1203.9064999999998
★ Butterfly Knife | Scorched (Well-Worn)@610.00@579.5
★ Butterfly Knife | Slaughter (Factory New)@1770.00@1681.5
★ Butterfly Knife | Slaughter (Minimal Wear)@1923.35@1827.1825
★ Butterfly Knife | Stained (Battle-Scarred)@737.26@700.3969999999999
★ Butterfly Knife | Stained (Factory New)@1655.24@1572.4779999999998
★ Butterfly Knife | Stained (Field-Tested)@710.00@674.5
★ Butterfly Knife | Stained (Minimal Wear)@810.74@770.203
★ Butterfly Knife | Stained (Well-Worn)@719.99@683.9905
★ Butterfly Knife | Tiger Tooth (Factory New)@1909.98@1814.481
★ Butterfly Knife | Tiger Tooth (Minimal Wear)@2400.00@2280.0
★ Butterfly Knife | Ultraviolet (Battle-Scarred)@787.58@748.201
★ Butterfly Knife | Ultraviolet (Field-Tested)@819.99@778.9905
★ Butterfly Knife | Ultraviolet (Minimal Wear)@1300.00@1235.0
★ Butterfly Knife | Ultraviolet (Well-Worn)@835.00@793.25
★ Butterfly Knife | Urban Masked (Battle-Scarred)@635.98@604.181
★ Butterfly Knife | Urban Masked (Field-Tested)@617.94@587.043
★ Butterfly Knife | Urban Masked (Minimal Wear)@966.01@917.7094999999999
★ Classic Knife@529.98@503.481
★ Classic Knife | Blue Steel (Battle-Scarred)@213.72@203.034
★ Classic Knife | Blue Steel (Field-Tested)@191.42@181.849
★ Classic Knife | Blue Steel (Minimal Wear)@230.71@219.1745
★ Classic Knife | Blue Steel (Well-Worn)@181.25@172.1875
★ Classic Knife | Boreal Forest (Battle-Scarred)@185.00@175.75
★ Classic Knife | Boreal Forest (Factory New)@395.00@375.25
★ Classic Knife | Boreal Forest (Field-Tested)@165.35@157.08249999999998
★ Classic Knife | Boreal Forest (Minimal Wear)@200.00@190.0
★ Classic Knife | Boreal Forest (Well-Worn)@205.51@195.23449999999997
★ Classic Knife | Case Hardened (Battle-Scarred)@374.56@355.832
★ Classic Knife | Case Hardened (Field-Tested)@286.99@272.6405
★ Classic Knife | Case Hardened (Minimal Wear)@389.99@370.4905
★ Classic Knife | Case Hardened (Well-Worn)@278.12@264.214
★ Classic Knife | Crimson Web (Battle-Scarred)@568.40@539.9799999999999
★ Classic Knife | Crimson Web (Field-Tested)@345.00@327.75
★ Classic Knife | Crimson Web (Minimal Wear)@462.35@439.2325
★ Classic Knife | Fade (Factory New)@999.98@949.981
★ Classic Knife | Fade (Minimal Wear)@910.00@864.5
★ Classic Knife | Forest DDPAT (Battle-Scarred)@159.39@151.42049999999998
★ Classic Knife | Forest DDPAT (Field-Tested)@151.54@143.963
★ Classic Knife | Forest DDPAT (Minimal Wear)@193.99@184.2905
★ Classic Knife | Forest DDPAT (Well-Worn)@161.72@153.634
★ Classic Knife | Night Stripe (Battle-Scarred)@239.28@227.316
★ Classic Knife | Night Stripe (Field-Tested)@200.83@190.7885
★ Classic Knife | Night Stripe (Minimal Wear)@185.00@175.75
★ Classic Knife | Night Stripe (Well-Worn)@296.80@281.96
★ Classic Knife | Safari Mesh (Field-Tested)@158.15@150.2425
★ Classic Knife | Safari Mesh (Minimal Wear)@198.99@189.0405
★ Classic Knife | Scorched (Battle-Scarred)@156.00@148.2
★ Classic Knife | Scorched (Factory New)@250.00@237.5
★ Classic Knife | Scorched (Field-Tested)@158.66@150.727
★ Classic Knife | Scorched (Minimal Wear)@268.12@254.714
★ Classic Knife | Scorched (Well-Worn)@260.00@247.0
★ Classic Knife | Slaughter (Field-Tested)@446.90@424.55499999999995
★ Classic Knife | Slaughter (Minimal Wear)@412.15@391.54249999999996
★ Classic Knife | Stained (Factory New)@370.00@351.5
★ Classic Knife | Stained (Field-Tested)@185.99@176.69050000000001
★ Classic Knife | Urban Masked (Battle-Scarred)@142.10@134.99499999999998
★ Classic Knife | Urban Masked (Field-Tested)@140.84@133.798
★ Classic Knife | Urban Masked (Well-Worn)@145.00@137.75
★ Driver Gloves | Black Tie (Battle-Scarred)@113.47@107.7965
★ Driver Gloves | Black Tie (Field-Tested)@225.00@213.75
★ Driver Gloves | Black Tie (Minimal Wear)@851.65@809.0675
★ Driver Gloves | Black Tie (Well-Worn)@168.21@159.7995
★ Driver Gloves | Convoy (Battle-Scarred)@74.32@70.60399999999998
★ Driver Gloves | Convoy (Factory New)@540.00@513.0
★ Driver Gloves | Convoy (Field-Tested)@90.30@85.785
★ Driver Gloves | Convoy (Minimal Wear)@167.57@159.1915
★ Driver Gloves | Convoy (Well-Worn)@79.11@75.1545
★ Driver Gloves | Crimson Weave (Battle-Scarred)@206.58@196.251
★ Driver Gloves | Crimson Weave (Factory New)@2977.99@2829.0905
★ Driver Gloves | Crimson Weave (Field-Tested)@365.00@346.75
★ Driver Gloves | Crimson Weave (Well-Worn)@410.00@389.5
★ Driver Gloves | Diamondback (Battle-Scarred)@139.92@132.92399999999998
★ Driver Gloves | Diamondback (Field-Tested)@153.30@145.635
★ Driver Gloves | Diamondback (Well-Worn)@118.92@112.97399999999999
★ Driver Gloves | Imperial Plaid (Battle-Scarred)@212.10@201.49499999999998
★ Driver Gloves | Imperial Plaid (Factory New)@2130.98@2024.4309999999998
