name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Glock-18 | Brass (Factory New)@63.09@55.519200000000005@82.19@80.5462@skinport@csdeals@17.46
Glock-18 | Dragon Tattoo (Factory New)@85.93@75.61840000000001@99.99@97.9902@skinport@csdeals@12.06
Glock-18 | Fade (Factory New)@1365.75@1201.86@1749.99@1714.9902@skinport@csdeals@349.24
Glock-18 | Gamma Doppler (Factory New)@70.42@61.9696@850.0@833.0@skinport@csdeals@762.58
Glock-18 | Gamma Doppler (Minimal Wear)@58.02@51.0576@70.0@68.6@skinport@csdeals@10.58
Glock-18 | Gold Toof (Factory New)@50.05@44.044@70.0@68.6@skinport@csdeals@18.55
Glock-18 | Pink DDPAT (Factory New)@66.68@58.6784@80.0@78.4@skinport@csdeals@11.72
Glock-18 | Pink DDPAT (Minimal Wear)@60.0@52.8@78.04@76.4792@skinport@csdeals@16.48
Glock-18 | Reactor (Well-Worn)@10.3@9.064@24.99@24.4902@skinport@csdeals@14.19
Glock-18 | Royal Legion (Factory New)@8.92@7.8496@25.0@24.5@skinport@csdeals@15.58
Glock-18 | Synth Leaf (Factory New)@400.0@352.0@480.0@470.4@skinport@csdeals@70.4
Glock-18 | Twilight Galaxy (Factory New)@189.87@167.0856@279.99@274.3902@skinport@csdeals@84.52
Glock-18 | Weasel (Factory New)@2.73@2.4024@22.0@21.56@skinport@csdeals@18.83
Glock-18 | Winterized (Factory New)@0.26@0.2288@13.0@12.74@skinport@csdeals@12.48
★ Gut Knife | Autotronic (Factory New)@272.65@239.932@345.0@338.1@skinport@csdeals@65.45
★ Gut Knife | Autotronic (Minimal Wear)@214.99@189.1912@249.99@244.9902@skinport@csdeals@30.0
★ Gut Knife | Bright Water (Factory New)@139.84@123.0592@160.0@156.8@skinport@csdeals@16.96
★ Gut Knife | Fade (Factory New)@210.49@185.2312@330.0@323.4@skinport@csdeals@112.91
★ Gut Knife | Lore (Field-Tested)@153.5@135.08@185.0@181.3@skinport@csdeals@27.8
★ Gut Knife | Lore (Minimal Wear)@195.09@171.6792@229.0@224.42@skinport@csdeals@29.33
★ Gut Knife | Marble Fade (Factory New)@201.41@177.2408@230.0@225.4@skinport@csdeals@23.99
★ Gut Knife | Rust Coat (Battle-Scarred)@114.99@101.1912@135.0@132.3@skinport@csdeals@17.31
★ Gut Knife | Slaughter (Factory New)@210.0@184.8@225.0@220.5@skinport@csdeals@10.5
★ Gut Knife | Urban Masked (Field-Tested)@110.68@97.3984@141.99@139.1502@skinport@csdeals@28.47
Half-Life: Alyx Patch Pack@1.35@1.1880000000000002@63.0@61.74@skinport@csdeals@60.39
★ Hand Wraps | Overprint (Field-Tested)@191.72@168.7136@339.99@333.1902@skinport@csdeals@141.47
★ Hand Wraps | Overprint (Minimal Wear)@297.23@261.5624@375.0@367.5@skinport@csdeals@70.27
★ Huntsman Knife | Autotronic (Factory New)@345.0@303.6@376.96@369.4208@skinport@csdeals@24.42
★ Huntsman Knife | Autotronic (Field-Tested)@202.59@178.2792@235.0@230.3@skinport@csdeals@27.71
★ Huntsman Knife | Boreal Forest (Field-Tested)@129.0@113.52@145.0@142.1@skinport@csdeals@13.1
