name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
Sticker | XANTARES | London 2018@4.02@3.819@17.4@15.312@shadowpay@skinport@11.29
Sticker | chrisJ (Foil) | London 2018@10.32@9.804@34.89@30.7032@shadowpay@skinport@20.38
Sticker | Magisk | London 2018@3.03@2.8785@28.59@25.1592@shadowpay@skinport@22.13
Sticker | STYKO (Foil) | London 2018@7.75@7.3625@40.05@35.244@shadowpay@skinport@27.49
Sticker | Kvik (Foil) | London 2018@5.45@5.1775@29.71@26.1448@shadowpay@skinport@20.69
Sticker | tonyblack | London 2018@2.29@2.1755@17.68@15.5584@shadowpay@skinport@13.27
Sticker | jks | London 2018@1.37@1.3015@27.39@24.1032@shadowpay@skinport@22.73
Sticker | USTILO | London 2018@2.38@2.261@18.64@16.403200000000002@shadowpay@skinport@14.02
Sticker | gob b (Foil) | London 2018@10.0@9.5@31.29@27.5352@shadowpay@skinport@17.54
Souvenir SSG 08 | Hand Brake (Factory New)@25.17@23.9115@59.99@52.7912@shadowpay@skinport@27.62
Souvenir SG 553 | Integrale (Battle-Scarred)@51.98@49.38099999999999@80.0@70.4@shadowpay@skinport@18.42
Souvenir Tec-9 | Remote Control (Minimal Wear)@43.92@41.724@61.35@53.988@shadowpay@skinport@10.07
★ StatTrak™ Ursus Knife | Case Hardened (Minimal Wear)@294.54@279.813@419.99@369.5912@shadowpay@skinport@75.05
★ StatTrak™ Talon Knife | Fade (Minimal Wear)@1599.0@1519.05@1845.12@1623.7056@shadowpay@skinport@24.71
Sticker | yuurih (Gold) | Katowice 2019@54.92@52.174@100.0@88.0@shadowpay@skinport@33.08
Sticker | sergej (Gold) | Katowice 2019@48.0@45.6@100.0@88.0@shadowpay@skinport@40.0
Sticker | dupreeh (Gold) | Katowice 2019@64.51@61.2845@96.72@85.1136@shadowpay@skinport@20.6
Sticker | EliGE (Gold) | Katowice 2019@69.65@66.1675@390.94@344.0272@shadowpay@skinport@274.38
Sticker | fer (Gold) | Katowice 2019@46.49@44.1655@81.0@71.28@shadowpay@skinport@24.79
Sticker | VINI (Gold) | Katowice 2019@45.0@42.75@63.29@55.6952@shadowpay@skinport@10.7
Sticker | kennyS (Foil) | Katowice 2019@31.07@29.5165@100.0@88.0@shadowpay@skinport@56.93
Sticker | rain (Foil) | Katowice 2019@14.7@13.964999999999998@89.84@79.0592@shadowpay@skinport@64.36
Sticker | erkaSt (Foil) | Katowice 2019@3.37@3.2015@27.27@23.9976@shadowpay@skinport@20.63
Sticker | TACO (Foil) | Katowice 2019@2.82@2.679@17.79@15.6552@shadowpay@skinport@12.84
Sticker | Vega Squadron | Katowice 2019@5.53@5.2535@19.21@16.9048@shadowpay@skinport@11.37
Sticker | dupreeh (Foil) | Katowice 2019@3.95@3.7525@16.8@14.784@shadowpay@skinport@10.83
Sticker | NAF (Foil) | Katowice 2019@4.49@4.2655@52.41@46.1208@shadowpay@skinport@41.63
Sticker | apEX (Foil) | Katowice 2019@12.57@11.9415@36.01@31.6888@shadowpay@skinport@19.12
Sticker | n0rb3r7 (Foil) | Katowice 2019@6.88@6.536@142.83@125.6904@shadowpay@skinport@118.81
Sticker | wayLander (Foil) | Katowice 2019@9.0@8.549999999999999@45.73@40.2424@shadowpay@skinport@31.24
Sticker | FugLy (Foil) | Katowice 2019@5.93@5.6335@36.37@32.0056@shadowpay@skinport@26.08
★ Ursus Knife | Boreal Forest (Factory New)@199.5@189.525@250.0@220.0@shadowpay@skinport@20.5
★ Ursus Knife | Rust Coat (Battle-Scarred)@164.55@156.3225@216.99@190.9512@shadowpay@skinport@26.4
Sticker | Hot Wings (Holo)@1.96@1.862@19.67@17.309600000000003@shadowpay@skinport@15.35
Sticker | huNter- (Gold) | Berlin 2019@46.22@43.909@149.99@131.99120000000002@shadowpay@skinport@85.77
Sticker | jks (Gold) | Berlin 2019@23.0@21.85@38.77@34.1176@shadowpay@skinport@11.12
Sticker | oBo (Foil) | Berlin 2019@2.76@2.622@16.18@14.2384@shadowpay@skinport@11.48
StatTrak™ MP9 | Hydra (Battle-Scarred)@14.24@13.528@29.77@26.1976@shadowpay@skinport@11.96
