name@price@price_after_sell
Glock-18 | Twilight Galaxy (Factory New)@279.99@274.3902
Glock-18 | Wasteland Rebel (Factory New)@7.80@7.644
Glock-18 | Wasteland Rebel (Field-Tested)@10.00@9.8
Glock-18 | Water Elemental (Field-Tested)@12.00@11.76
Glock-18 | Weasel (Battle-Scarred)@0.80@0.784
Glock-18 | Weasel (Factory New)@22.00@21.56
Glock-18 | Wraiths (Factory New)@9.00@8.82
Glove Case@7.90@7.742
Guardian 2 Pin@8.00@7.84
Guardian Elite Pin@39.99@39.190200000000004
Huntsman Weapon Case@16.00@15.68
Inferno Pin@6.49@6.3602
M249 | Blizzard Marbleized (Field-Tested)@15.00@14.7
M249 | Contrast Spray (Minimal Wear)@1.01@0.9898
M249 | Contrast Spray (Well-Worn)@0.50@0.49
M249 | Gator Mesh (Minimal Wear)@0.40@0.392
M249 | Impact Drill (Field-Tested)@4.00@3.92
M249 | Impact Drill (Minimal Wear)@5.00@4.9
M249 | Impact Drill (Well-Worn)@2.44@2.3912
M249 | Magma (Factory New)@2.00@1.96
M249 | Magma (Field-Tested)@2.00@1.96
M249 | Nebula Crusader (Field-Tested)@3.00@2.94
M249 | Shipping Forecast (Factory New)@29.99@29.390199999999997
M249 | Spectre (Factory New)@0.70@0.6859999999999999
M249 | System Lock (Factory New)@6.00@5.88
M249 | System Lock (Field-Tested)@0.30@0.294
M4A1-S | Atomic Alloy (Field-Tested)@47.88@46.9224
M4A1-S | Atomic Alloy (Minimal Wear)@60.77@59.5546
M4A1-S | Atomic Alloy (Well-Worn)@44.79@43.8942
M4A1-S | Basilisk (Minimal Wear)@7.33@7.1834
M4A1-S | Blood Tiger (Factory New)@24.00@23.52
M4A1-S | Boreal Forest (Field-Tested)@10.00@9.8
M4A1-S | Chantico's Fire (Field-Tested)@34.74@34.0452
M4A1-S | Chantico's Fire (Minimal Wear)@72.00@70.56
M4A1-S | Cyrex (Minimal Wear)@32.14@31.4972
M4A1-S | Dark Water (Minimal Wear)@98.39@96.4222
M4A1-S | Flashback (Battle-Scarred)@1.80@1.764
M4A1-S | Flashback (Factory New)@17.00@16.66
M4A1-S | Flashback (Minimal Wear)@1.04@1.0192
M4A1-S | Golden Coil (Factory New)@181.21@177.5858
M4A1-S | Golden Coil (Minimal Wear)@129.99@127.39020000000001
M4A1-S | Guardian (Well-Worn)@23.85@23.373
M4A1-S | Hot Rod (Factory New)@1100.00@1078.0
M4A1-S | Hot Rod (Minimal Wear)@1049.99@1028.9902
M4A1-S | Hyper Beast (Field-Tested)@25.93@25.4114
M4A1-S | Icarus Fell (Factory New)@531.00@520.38
M4A1-S | Icarus Fell (Minimal Wear)@549.99@538.9902
M4A1-S | Knight (Factory New)@4000.00@3920.0
M4A1-S | Mecha Industries (Minimal Wear)@65.65@64.337
M4A1-S | Nitro (Factory New)@5.00@4.9
M4A1-S | Nitro (Minimal Wear)@7.00@6.859999999999999
M4A1-S | VariCamo (Battle-Scarred)@2.00@1.96
M4A1-S | VariCamo (Factory New)@1.20@1.176
M4A1-S | VariCamo (Field-Tested)@0.50@0.49
M4A1-S | VariCamo (Minimal Wear)@1.02@0.9996
M4A1-S | VariCamo (Well-Worn)@2.00@1.96
M4A4 | Asiimov (Field-Tested)@196.18@192.2564
M4A4 | Bullet Rain (Minimal Wear)@42.99@42.1302
M4A4 | Buzz Kill (Field-Tested)@12.99@12.7302
M4A4 | Daybreak (Factory New)@355.00@347.9
M4A4 | Desert Storm (Battle-Scarred)@25.93@25.4114
M4A4 | Desert Storm (Field-Tested)@21.00@20.58
M4A4 | Desolate Space (Field-Tested)@9.00@8.82
M4A4 | Desolate Space (Well-Worn)@9.00@8.82
M4A4 | Faded Zebra (Field-Tested)@5.32@5.2136000000000005
M4A4 | Faded Zebra (Well-Worn)@8.41@8.2418
M4A4 | Griffin (Battle-Scarred)@4.00@3.92
M4A4 | Griffin (Field-Tested)@3.29@3.2242
M4A4 | Howl (Field-Tested)@4499.99@4409.990199999999
M4A4 | Howl (Minimal Wear)@5399.99@5291.990199999999
M4A4 | Howl (Well-Worn)@4099.99@4017.9901999999997
M4A4 | Radiation Hazard (Factory New)@576.17@564.6465999999999
M4A4 | Royal Paladin (Minimal Wear)@24.99@24.490199999999998
M4A4 | The Battlestar (Field-Tested)@11.00@10.78
M4A4 | Urban DDPAT (Field-Tested)@0.13@0.1274
M4A4 | Urban DDPAT (Minimal Wear)@0.90@0.882
M4A4 | Urban DDPAT (Well-Worn)@0.15@0.147
M4A4 | X-Ray (Minimal Wear)@438.39@429.62219999999996
M4A4 | Zirka (Factory New)@41.78@40.9444
MAC-10 | Candy Apple (Factory New)@13.00@12.74
MAC-10 | Candy Apple (Field-Tested)@25.00@24.5
MAC-10 | Candy Apple (Minimal Wear)@0.19@0.1862
MAC-10 | Carnivore (Factory New)@20.00@19.6
MAC-10 | Commuter (Field-Tested)@18.35@17.983
MAC-10 | Commuter (Minimal Wear)@12.02@11.779599999999999
MAC-10 | Fade (Factory New)@42.99@42.1302
MAC-10 | Heat (Factory New)@25.00@24.5
MAC-10 | Indigo (Minimal Wear)@7.00@6.859999999999999
MAC-10 | Lapis Gator (Factory New)@8.00@7.84
MAC-10 | Neon Rider (Well-Worn)@14.00@13.719999999999999
MAC-10 | Rangeen (Factory New)@0.47@0.46059999999999995
MAC-10 | Rangeen (Field-Tested)@0.22@0.21559999999999999
MAC-10 | Silver (Factory New)@10.59@10.3782
MAC-10 | Tatter (Factory New)@15.32@15.0136
MAC-10 | Tatter (Minimal Wear)@16.00@15.68
MAC-10 | Ultraviolet (Factory New)@70.00@68.6
MAC-10 | Urban DDPAT (Minimal Wear)@6.00@5.88
MAG-7 | Bulldozer (Battle-Scarred)@9.17@8.9866
MAG-7 | Cobalt Core (Factory New)@7.00@6.859999999999999
MAG-7 | Cobalt Core (Field-Tested)@0.22@0.21559999999999999
MAG-7 | Cobalt Core (Minimal Wear)@0.70@0.6859999999999999
MAG-7 | Cobalt Core (Well-Worn)@1.00@0.98
MAG-7 | Counter Terrace (Factory New)@140.00@137.2
MAG-7 | Firestarter (Factory New)@20.00@19.6
MAG-7 | Heat (Factory New)@16.00@15.68
MAG-7 | Heaven Guard (Factory New)@0.90@0.882
MAG-7 | Heaven Guard (Minimal Wear)@0.59@0.5781999999999999
MAG-7 | Memento (Factory New)@7.51@7.3598
MAG-7 | Metallic DDPAT (Factory New)@1.10@1.078
MAG-7 | Metallic DDPAT (Minimal Wear)@0.34@0.3332
MAG-7 | Petroglyph (Minimal Wear)@0.64@0.6272
MAG-7 | Praetorian (Factory New)@16.00@15.68
MAG-7 | Praetorian (Field-Tested)@2.56@2.5088
MAG-7 | Praetorian (Well-Worn)@2.29@2.2442
MAG-7 | Sand Dune (Field-Tested)@2.00@1.96
MAG-7 | Sand Dune (Minimal Wear)@11.20@10.975999999999999
MAG-7 | Seabird (Battle-Scarred)@2.40@2.352
MAG-7 | Seabird (Field-Tested)@3.00@2.94
MAG-7 | Seabird (Well-Worn)@2.31@2.2638
MAG-7 | Silver (Minimal Wear)@28.78@28.2044
MAG-7 | Sonar (Factory New)@0.31@0.3038
MAG-7 | Sonar (Minimal Wear)@0.40@0.392
MP7 | Anodized Navy (Factory New)@1.10@1.078
MP7 | Armor Core (Factory New)@10.00@9.8
MP7 | Armor Core (Field-Tested)@0.30@0.294
MP7 | Armor Core (Minimal Wear)@0.20@0.196
MP7 | Army Recon (Field-Tested)@3.00@2.94
MP7 | Army Recon (Well-Worn)@0.11@0.10779999999999999
MP7 | Asterion (Factory New)@6.50@6.37
MP7 | Asterion (Field-Tested)@5.47@5.3606
MP7 | Asterion (Minimal Wear)@5.40@5.292
MP7 | Asterion (Well-Worn)@7.00@6.859999999999999
MP7 | Cirrus (Factory New)@8.00@7.84
MP7 | Cirrus (Field-Tested)@0.25@0.245
MP7 | Forest DDPAT (Field-Tested)@0.10@0.098
MP7 | Gunsmoke (Field-Tested)@3.50@3.4299999999999997
