name@price@price_after_sell
10 Year Birthday Sticker Capsule@0.72@0.6335999999999999
1st Lieutenant Farlow | SWAT@6.22@5.4736
AUG | Amber Fade (Factory New)@1.74@1.5312
AUG | Amber Fade (Field-Tested)@1.38@1.2144
AUG | Amber Fade (Minimal Wear)@1.35@1.1880000000000002
AUG | Amber Fade (Well-Worn)@5.79@5.0952
AUG | Amber Slipstream (Battle-Scarred)@0.15@0.132
AUG | Amber Slipstream (Factory New)@0.36@0.31679999999999997
AUG | Amber Slipstream (Field-Tested)@0.2@0.17600000000000002
AUG | Amber Slipstream (Minimal Wear)@0.22@0.1936
AUG | Amber Slipstream (Well-Worn)@19.57@17.2216
AUG | Anodized Navy (Factory New)@26.55@23.364
AUG | Anodized Navy (Minimal Wear)@@
AUG | Arctic Wolf (Battle-Scarred)@1.45@1.276
AUG | Arctic Wolf (Factory New)@5.41@4.760800000000001
AUG | Arctic Wolf (Field-Tested)@1.44@1.2671999999999999
AUG | Arctic Wolf (Minimal Wear)@3.09@2.7192
AUG | Arctic Wolf (Well-Worn)@1.57@1.3816000000000002
AUG | Aristocrat (Battle-Scarred)@0.6@0.528
AUG | Aristocrat (Factory New)@2.3@2.024
AUG | Aristocrat (Field-Tested)@0.5@0.44
AUG | Aristocrat (Minimal Wear)@1.06@0.9328000000000001
AUG | Aristocrat (Well-Worn)@0.55@0.48400000000000004
AUG | Bengal Tiger (Battle-Scarred)@@
AUG | Bengal Tiger (Factory New)@30.79@27.0952
AUG | Bengal Tiger (Field-Tested)@8.29@7.2951999999999995
AUG | Bengal Tiger (Minimal Wear)@13.99@12.3112
AUG | Bengal Tiger (Well-Worn)@@
AUG | Carved Jade (Factory New)@11.98@10.5424
AUG | Carved Jade (Field-Tested)@12.83@11.2904
AUG | Carved Jade (Minimal Wear)@12.66@11.1408
AUG | Chameleon (Battle-Scarred)@3.68@3.2384
AUG | Chameleon (Factory New)@4.76@4.1888
AUG | Chameleon (Field-Tested)@3.49@3.0712
AUG | Chameleon (Minimal Wear)@2.71@2.3848
AUG | Chameleon (Well-Worn)@3.42@3.0096
AUG | Colony (Battle-Scarred)@@
AUG | Colony (Factory New)@35.0@30.8
AUG | Colony (Field-Tested)@4.4@3.8720000000000003
AUG | Colony (Minimal Wear)@4.27@3.7575999999999996
AUG | Colony (Well-Worn)@@
AUG | Commando Company (Battle-Scarred)@@
AUG | Commando Company (Factory New)@@
AUG | Commando Company (Field-Tested)@4.0@3.52
AUG | Commando Company (Minimal Wear)@4.17@3.6696
AUG | Commando Company (Well-Worn)@@
AUG | Condemned (Battle-Scarred)@0.1@0.08800000000000001
AUG | Condemned (Factory New)@0.82@0.7215999999999999
AUG | Condemned (Field-Tested)@0.05@0.044000000000000004
AUG | Condemned (Minimal Wear)@0.09@0.07919999999999999
AUG | Condemned (Well-Worn)@0.05@0.044000000000000004
AUG | Contractor (Battle-Scarred)@0.02@0.0176
AUG | Contractor (Factory New)@0.23@0.2024
AUG | Contractor (Field-Tested)@0.02@0.0176
AUG | Contractor (Minimal Wear)@0.02@0.0176
AUG | Contractor (Well-Worn)@0.02@0.0176
AUG | Copperhead (Field-Tested)@@
AUG | Copperhead (Minimal Wear)@@
AUG | Daedalus (Battle-Scarred)@6.34@5.5792
AUG | Daedalus (Factory New)@5.99@5.2712
AUG | Daedalus (Field-Tested)@4.66@4.1008000000000004
AUG | Daedalus (Minimal Wear)@6.29@5.5352
AUG | Daedalus (Well-Worn)@4.03@3.5464
AUG | Death by Puppy (Factory New)@9.7@8.536
AUG | Death by Puppy (Field-Tested)@4.79@4.2152
AUG | Death by Puppy (Minimal Wear)@5.99@5.2712
