name@price@price_after_sell
StatTrak™ P2000 | Ocean Foam (Factory New)@341.85@324.7575
★ Bayonet | Rust Coat (Battle-Scarred)@257.71@244.82449999999997
★ StatTrak™ Flip Knife | Case Hardened (Battle-Scarred)@504.8@479.56
FAMAS | Spitfire (Factory New)@380.0@361.0
★ Flip Knife | Damascus Steel (Factory New)@288.36@273.942
★ Gut Knife | Fade (Factory New)@234.75@223.0125
★ StatTrak™ M9 Bayonet | Boreal Forest (Battle-Scarred)@632.23@600.6185
★ StatTrak™ Gut Knife | Damascus Steel (Minimal Wear)@162.6@154.47
★ Huntsman Knife | Blue Steel (Field-Tested)@249.92@237.42399999999998
StatTrak™ AWP | Graphite (Factory New)@2452.9@2330.255
★ StatTrak™ Falchion Knife | Stained (Battle-Scarred)@179.33@170.36350000000002
StatTrak™ AK-47 | Vulcan (Field-Tested)@454.44@431.71799999999996
★ M9 Bayonet | Night (Battle-Scarred)@696.13@661.3235
★ StatTrak™ Bayonet | Urban Masked (Field-Tested)@320.0@304.0
★ StatTrak™ Flip Knife | Ultraviolet (Field-Tested)@259.53@246.55349999999996
★ StatTrak™ Butterfly Knife | Urban Masked (Field-Tested)@830.05@788.5474999999999
★ StatTrak™ Gut Knife | Damascus Steel (Field-Tested)@164.81@156.5695
StatTrak™ AWP | Asiimov (Well-Worn)@216.0@205.2
StatTrak™ Five-SeveN | Case Hardened (Factory New)@80.44@76.41799999999999
★ StatTrak™ M9 Bayonet | Safari Mesh (Well-Worn)@590.9@561.3549999999999
Souvenir USP-S | Road Rash (Well-Worn)@18.89@17.9455
★ StatTrak™ Flip Knife | Stained (Minimal Wear)@310.0@294.5
★ M9 Bayonet | Scorched (Minimal Wear)@689.99@655.4905
StatTrak™ AK-47 | Wasteland Rebel (Minimal Wear)@187.69@178.3055
★ StatTrak™ Bayonet | Safari Mesh (Battle-Scarred)@250.0@237.5
★ Huntsman Knife | Blue Steel (Battle-Scarred)@253.99@241.2905
★ StatTrak™ Flip Knife | Damascus Steel (Field-Tested)@245.34@233.07299999999998
★ StatTrak™ Gut Knife | Case Hardened (Field-Tested)@288.59@274.16049999999996
★ Huntsman Knife | Crimson Web (Field-Tested)@223.29@212.1255
★ StatTrak™ Gut Knife | Case Hardened (Well-Worn)@222.92@211.77399999999997
★ Butterfly Knife | Night (Well-Worn)@1023.3@972.1349999999999
★ M9 Bayonet | Ultraviolet (Battle-Scarred)@679.28@645.3159999999999
★ StatTrak™ Flip Knife | Blue Steel (Field-Tested)@293.24@278.578
★ Bayonet | Urban Masked (Minimal Wear)@278.86@264.917
★ Bayonet | Crimson Web (Battle-Scarred)@328.99@312.5405
★ Bayonet | Stained (Battle-Scarred)@281.64@267.558
★ Huntsman Knife | Crimson Web (Well-Worn)@230.35@218.83249999999998
StatTrak™ AWP | Hyper Beast (Well-Worn)@75.8@72.00999999999999
★ Butterfly Knife | Crimson Web (Battle-Scarred)@1107.74@1052.353
★ StatTrak™ M9 Bayonet | Forest DDPAT (Battle-Scarred)@613.33@582.6635
★ StatTrak™ Gut Knife | Stained (Minimal Wear)@230.0@218.5
★ StatTrak™ Butterfly Knife | Safari Mesh (Battle-Scarred)@1152.76@1095.1219999999998
★ Flip Knife | Case Hardened (Minimal Wear)@318.15@302.24249999999995
★ Huntsman Knife | Case Hardened (Well-Worn)@266.68@253.346
★ StatTrak™ Flip Knife | Rust Coat (Battle-Scarred)@264.95@251.7025
StatTrak™ AK-47 | Jaguar (Minimal Wear)@366.71@348.37449999999995
★ StatTrak™ Gut Knife | Case Hardened (Battle-Scarred)@280.0@266.0
★ StatTrak™ Gut Knife | Blue Steel (Minimal Wear)@240.0@228.0
★ Gut Knife | Slaughter (Factory New)@237.0@225.14999999999998
StatTrak™ M4A1-S | Hyper Beast (Well-Worn)@53.06@50.407
★ Gut Knife | Damascus Steel (Battle-Scarred)@151.2@143.64
StatTrak™ AWP | Graphite (Minimal Wear)@348.8@331.36
StatTrak™ P2000 | Ocean Foam (Minimal Wear)@757.93@720.0334999999999
★ StatTrak™ M9 Bayonet | Scorched (Field-Tested)@675.1@641.345
★ Falchion Knife | Blue Steel (Field-Tested)@229.78@218.291
★ StatTrak™ Huntsman Knife | Stained (Field-Tested)@226.53@215.2035
StatTrak™ AK-47 | Case Hardened (Field-Tested)@467.38@444.01099999999997
★ Butterfly Knife | Forest DDPAT (Minimal Wear)@927.88@881.486
★ Butterfly Knife | Stained (Well-Worn)@1079.99@1025.9904999999999
★ Gut Knife | Crimson Web (Minimal Wear)@194.42@184.69899999999998
★ Bayonet | Stained (Well-Worn)@277.64@263.758
M4A4 | Poseidon (Minimal Wear)@914.5@868.775
★ M9 Bayonet | Urban Masked (Minimal Wear)@685.62@651.3389999999999
★ Falchion Knife | Blue Steel (Battle-Scarred)@207.68@197.296
★ Falchion Knife | Case Hardened (Field-Tested)@248.73@236.29349999999997
AK-47 | Red Laminate (Factory New)@449.85@427.3575
★ Bayonet | Night (Field-Tested)@253.29@240.6255
★ StatTrak™ Flip Knife | Night (Field-Tested)@232.35@220.7325
AK-47 | Wasteland Rebel (Factory New)@249.14@236.68299999999996
★ Butterfly Knife | Scorched (Minimal Wear)@972.34@923.723
★ Bayonet | Ultraviolet (Well-Worn)@261.09@248.03549999999996
★ Flip Knife | Crimson Web (Field-Tested)@344.08@326.876
★ StatTrak™ Bayonet | Forest DDPAT (Well-Worn)@270.51@256.98449999999997
★ StatTrak™ Flip Knife | Ultraviolet (Battle-Scarred)@280.95@266.9025
★ StatTrak™ Flip Knife | Stained (Well-Worn)@347.44@330.068
★ StatTrak™ Butterfly Knife | Urban Masked (Battle-Scarred)@899.99@854.9905
★ Falchion Knife@201.66@191.577
★ Butterfly Knife | Night (Battle-Scarred)@939.84@892.848
★ Bayonet | Night (Well-Worn)@300.0@285.0
StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn)@76.51@72.6845
★ Huntsman Knife | Scorched (Minimal Wear)@174.43@165.7085
★ Flip Knife | Damascus Steel (Minimal Wear)@264.41@251.1895
★ StatTrak™ Flip Knife | Scorched (Minimal Wear)@241.49@229.4155
★ StatTrak™ Butterfly Knife | Safari Mesh (Field-Tested)@878.84@834.898
★ Falchion Knife | Case Hardened (Battle-Scarred)@226.0@214.7
★ StatTrak™ Bayonet | Safari Mesh (Well-Worn)@223.35@212.18249999999998
AWP | BOOM (Factory New)@384.36@365.142
★ Falchion Knife | Blue Steel (Well-Worn)@206.56@196.232
StatTrak™ AWP | BOOM (Minimal Wear)@257.95@245.05249999999998
StatTrak™ AK-47 | Wasteland Rebel (Well-Worn)@168.7@160.265
★ StatTrak™ M9 Bayonet | Safari Mesh (Field-Tested)@563.09@534.9355
★ Bayonet | Forest DDPAT (Minimal Wear)@281.37@267.3015
★ Huntsman Knife | Stained (Minimal Wear)@243.59@231.41049999999998
StatTrak™ AK-47 | Redline (Minimal Wear)@368.69@350.2555
★ StatTrak™ Flip Knife | Blue Steel (Well-Worn)@318.04@302.13800000000003
★ Huntsman Knife | Case Hardened (Battle-Scarred)@310.0@294.5
★ StatTrak™ Flip Knife | Stained (Battle-Scarred)@248.35@235.93249999999998
StatTrak™ Desert Eagle | Golden Koi (Factory New)@291.81@277.2195
M4A1-S | Master Piece (Field-Tested)@150.0@142.5
★ Gut Knife | Damascus Steel (Factory New)@157.63@149.74849999999998
★ StatTrak™ Bayonet | Boreal Forest (Field-Tested)@246.98@234.63099999999997
★ M9 Bayonet | Boreal Forest (Well-Worn)@748.3@710.8849999999999
★ StatTrak™ Bayonet | Forest DDPAT (Battle-Scarred)@248.24@235.828
★ M9 Bayonet | Forest DDPAT (Battle-Scarred)@586.84@557.498
StatTrak™ P90 | Death by Kitty (Field-Tested)@122.72@116.58399999999999
★ StatTrak™ Gut Knife@187.49@178.1155
★ Bayonet | Ultraviolet (Field-Tested)@270.0@256.5
AK-47 | Aquamarine Revenge (Factory New)@134.45@127.72749999999998
★ Flip Knife | Case Hardened (Well-Worn)@267.1@253.745
★ M9 Bayonet | Boreal Forest (Field-Tested)@616.97@586.1215
★ StatTrak™ Gut Knife | Forest DDPAT (Well-Worn)@153.73@146.0435
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred)@145.19@137.9305
★ Flip Knife | Stained (Factory New)@297.08@282.226
★ Falchion Knife | Boreal Forest (Minimal Wear)@148.32@140.904
★ M9 Bayonet | Urban Masked (Battle-Scarred)@824.05@782.8475
★ StatTrak™ Falchion Knife | Scorched (Field-Tested)@158.07@150.16649999999998
★ Falchion Knife | Night (Field-Tested)@149.95@142.4525
★ StatTrak™ Gut Knife | Ultraviolet (Field-Tested)@148.79@141.35049999999998
★ StatTrak™ Gut Knife | Crimson Web (Battle-Scarred)@184.99@175.7405
★ Butterfly Knife | Forest DDPAT (Well-Worn)@849.11@806.6545
★ Huntsman Knife | Night (Field-Tested)@160.05@152.0475
★ Butterfly Knife | Boreal Forest (Field-Tested)@891.45@846.8775
StatTrak™ M4A4 | Asiimov (Well-Worn)@383.9@364.705
M4A4 | Poseidon (Field-Tested)@984.51@935.2845
StatTrak™ P2000 | Fire Elemental (Factory New)@219.0@208.04999999999998
★ Butterfly Knife | Urban Masked (Well-Worn)@870.0@826.5
★ Butterfly Knife | Urban Masked (Field-Tested)@880.56@836.5319999999999
★ Huntsman Knife | Crimson Web (Battle-Scarred)@217.31@206.4445
★ StatTrak™ Gut Knife | Ultraviolet (Battle-Scarred)@174.04@165.338
★ M9 Bayonet | Safari Mesh (Minimal Wear)@593.24@563.578
★ Gut Knife | Slaughter (Minimal Wear)@227.4@216.03
★ StatTrak™ Bayonet | Safari Mesh (Field-Tested)@243.95@231.75249999999997
★ Butterfly Knife | Scorched (Field-Tested)@887.4@843.03
★ Huntsman Knife | Boreal Forest (Minimal Wear)@192.95@183.30249999999998
AWP | Pink DDPAT (Factory New)@139.24@132.278
★ M9 Bayonet | Urban Masked (Well-Worn)@621.0@589.9499999999999
StatTrak™ AUG | Bengal Tiger (Factory New)@121.59@115.5105
★ Butterfly Knife | Boreal Forest (Well-Worn)@919.88@873.886
★ StatTrak™ Huntsman Knife | Scorched (Field-Tested)@184.18@174.971
★ StatTrak™ Gut Knife | Forest DDPAT (Minimal Wear)@140.95@133.90249999999997
★ StatTrak™ Gut Knife | Rust Coat (Battle-Scarred)@138.0@131.1
★ Butterfly Knife | Safari Mesh (Minimal Wear)@911.94@866.343
★ Bayonet | Ultraviolet (Battle-Scarred)@247.45@235.0775
★ Butterfly Knife | Scorched (Well-Worn)@862.22@819.109
★ Gut Knife | Blue Steel (Factory New)@185.64@176.35799999999998
★ Flip Knife | Ultraviolet (Field-Tested)@252.0@239.39999999999998
★ StatTrak™ Falchion Knife | Urban Masked (Field-Tested)@177.0@168.15
★ StatTrak™ Flip Knife | Boreal Forest (Minimal Wear)@440.8@418.76
★ Falchion Knife | Case Hardened (Well-Worn)@238.88@226.93599999999998
★ StatTrak™ Gut Knife | Ultraviolet (Well-Worn)@363.82@345.62899999999996
StatTrak™ M4A1-S | Atomic Alloy (Factory New)@172.12@163.514
★ M9 Bayonet | Forest DDPAT (Well-Worn)@569.85@541.3575
★ M9 Bayonet | Scorched (Battle-Scarred)@611.99@581.3905
★ M9 Bayonet | Boreal Forest (Battle-Scarred)@584.61@555.3795
★ StatTrak™ Gut Knife | Blue Steel (Well-Worn)@210.7@200.165
StatTrak™ M4A1-S | Cyrex (Field-Tested)@67.39@64.0205
StatTrak™ AK-47 | Wasteland Rebel (Field-Tested)@220.5@209.475
★ M9 Bayonet | Urban Masked (Field-Tested)@612.81@582.1695
★ Huntsman Knife | Night (Well-Worn)@182.16@173.052
★ Falchion Knife | Stained (Minimal Wear)@168.0@159.6
M4A1-S | Master Piece (Battle-Scarred)@120.47@114.4465
★ StatTrak™ Gut Knife | Urban Masked (Battle-Scarred)@197.65@187.76749999999998
★ StatTrak™ Flip Knife | Stained (Field-Tested)@241.19@229.13049999999998
★ StatTrak™ Gut Knife | Scorched (Minimal Wear)@205.0@194.75
★ Butterfly Knife | Boreal Forest (Battle-Scarred)@846.75@804.4124999999999
StatTrak™ CZ75-Auto | Victoria (Well-Worn)@120.25@114.2375
StatTrak™ M4A1-S | Cyrex (Battle-Scarred)@71.15@67.5925
★ Huntsman Knife | Forest DDPAT (Minimal Wear)@186.06@176.757
★ Gut Knife | Ultraviolet (Minimal Wear)@195.02@185.269
★ Bayonet | Night (Battle-Scarred)@240.73@228.69349999999997
★ Butterfly Knife | Forest DDPAT (Field-Tested)@878.45@834.5275
★ Flip Knife | Blue Steel (Minimal Wear)@353.64@335.95799999999997
★ StatTrak™ Gut Knife | Crimson Web (Field-Tested)@170.27@161.7565
★ Falchion Knife | Night (Well-Worn)@155.43@147.6585
AUG | Akihabara Accept (Field-Tested)@552.79@525.1505
★ Butterfly Knife | Urban Masked (Battle-Scarred)@862.49@819.3655
AWP | Hyper Beast (Minimal Wear)@47.08@44.726
★ M9 Bayonet | Forest DDPAT (Field-Tested)@571.88@543.286
StatTrak™ P90 | Emerald Dragon (Field-Tested)@239.52@227.544
★ StatTrak™ Gut Knife | Safari Mesh (Well-Worn)@173.58@164.901
★ Flip Knife | Case Hardened (Battle-Scarred)@396.6@376.77
★ StatTrak™ Falchion Knife | Night (Battle-Scarred)@181.3@172.235
★ StatTrak™ Gut Knife | Scorched (Field-Tested)@211.6@201.01999999999998
★ Butterfly Knife | Safari Mesh (Field-Tested)@847.49@805.1155
★ Flip Knife | Case Hardened (Field-Tested)@305.48@290.206
StatTrak™ AK-47 | Case Hardened (Well-Worn)@422.73@401.5935
★ Huntsman Knife | Night (Battle-Scarred)@194.2@184.48999999999998
★ Bayonet | Safari Mesh (Minimal Wear)@244.23@232.0185
★ M9 Bayonet | Scorched (Well-Worn)@595.87@566.0765
StatTrak™ AK-47 | Case Hardened (Battle-Scarred)@448.85@426.4075
★ Huntsman Knife | Stained (Field-Tested)@192.95@183.30249999999998
M4A1-S | Master Piece (Well-Worn)@126.83@120.48849999999999
★ Gut Knife | Rust Coat (Well-Worn)@166.59@158.2605
★ Butterfly Knife | Forest DDPAT (Battle-Scarred)@883.2@839.04
★ StatTrak™ Falchion Knife | Scorched (Well-Worn)@180.74@171.703
★ M9 Bayonet | Scorched (Field-Tested)@597.39@567.5205
★ M9 Bayonet | Safari Mesh (Battle-Scarred)@614.75@584.0124999999999
M4A1-S | Hyper Beast (Minimal Wear)@51.32@48.754
StatTrak™ M4A1-S | Hyper Beast (Battle-Scarred)@52.04@49.437999999999995
★ StatTrak™ Huntsman Knife | Forest DDPAT (Battle-Scarred)@159.95@151.9525
StatTrak™ P2000 | Fire Elemental (Battle-Scarred)@58.14@55.233
★ Butterfly Knife | Scorched (Battle-Scarred)@804.89@764.6455
Souvenir AWP | Pink DDPAT (Field-Tested)@21.75@20.662499999999998
★ Flip Knife | Damascus Steel (Well-Worn)@238.2@226.29
StatTrak™ AK-47 | Vulcan (Well-Worn)@297.04@282.188
★ Falchion Knife | Scorched (Minimal Wear)@173.81@165.1195
★ StatTrak™ Huntsman Knife | Safari Mesh (Field-Tested)@185.0@175.75
★ Falchion Knife | Crimson Web (Battle-Scarred)@195.8@186.01
StatTrak™ USP-S | Orion (Battle-Scarred)@396.9@377.05499999999995
★ Gut Knife | Slaughter (Field-Tested)@189.69@180.2055
★ StatTrak™ Gut Knife | Stained (Field-Tested)@163.42@155.24899999999997
★ StatTrak™ Flip Knife | Boreal Forest (Field-Tested)@197.13@187.27349999999998
★ Gut Knife | Night (Minimal Wear)@140.84@133.798
★ Butterfly Knife | Safari Mesh (Well-Worn)@885.61@841.3294999999999
★ Butterfly Knife | Safari Mesh (Battle-Scarred)@852.0@809.4
★ StatTrak™ Gut Knife | Safari Mesh (Minimal Wear)@154.46@146.737
AK-47 | Vulcan (Factory New)@764.6@726.37
StatTrak™ P90 | Emerald Dragon (Minimal Wear)@271.12@257.56399999999996
★ StatTrak™ Gut Knife | Night (Field-Tested)@161.62@153.539
★ Flip Knife | Ultraviolet (Well-Worn)@240.0@228.0
StatTrak™ USP-S | Orion (Factory New)@144.87@137.6265
StatTrak™ M4A4 | Bullet Rain (Factory New)@233.2@221.54
★ M9 Bayonet | Safari Mesh (Field-Tested)@567.48@539.106
★ Huntsman Knife | Stained (Well-Worn)@191.5@181.92499999999998
★ StatTrak™ Falchion Knife | Scorched (Battle-Scarred)@140.32@133.30399999999997
StatTrak™ AWP | Asiimov (Battle-Scarred)@151.94@144.343
★ Bayonet | Boreal Forest (Field-Tested)@235.61@223.8295
★ Falchion Knife | Stained (Field-Tested)@165.34@157.073
★ StatTrak™ Falchion Knife | Urban Masked (Battle-Scarred)@255.03@242.27849999999998
StatTrak™ P2000 | Fire Elemental (Minimal Wear)@99.51@94.5345
★ M9 Bayonet | Safari Mesh (Well-Worn)@574.92@546.174
★ Gut Knife | Damascus Steel (Well-Worn)@170.07@161.5665
★ Flip Knife | Crimson Web (Battle-Scarred)@347.46@330.087
★ Bayonet | Scorched (Battle-Scarred)@229.99@218.4905
★ StatTrak™ Gut Knife | Safari Mesh (Battle-Scarred)@161.84@153.748
★ Bayonet | Urban Masked (Field-Tested)@226.07@214.76649999999998
★ Flip Knife | Night (Field-Tested)@222.71@211.5745
Souvenir SSG 08 | Detour (Well-Worn)@5.24@4.978
★ Huntsman Knife | Stained (Battle-Scarred)@172.75@164.11249999999998
★ Bayonet | Scorched (Field-Tested)@220.8@209.76
★ Bayonet | Forest DDPAT (Well-Worn)@237.38@225.511
★ Flip Knife | Blue Steel (Field-Tested)@334.07@317.3665
★ StatTrak™ Falchion Knife | Boreal Forest (Battle-Scarred)@186.64@177.308
★ Bayonet | Boreal Forest (Well-Worn)@279.14@265.183
★ Bayonet | Forest DDPAT (Field-Tested)@222.17@211.06149999999997
★ Flip Knife | Rust Coat (Well-Worn)@230.42@218.89899999999997
★ Huntsman Knife | Safari Mesh (Minimal Wear)@278.67@264.7365
★ Flip Knife | Blue Steel (Well-Worn)@267.0@253.64999999999998
★ Flip Knife | Scorched (Minimal Wear)@227.56@216.182
★ Bayonet | Safari Mesh (Well-Worn)@234.99@223.2405
★ Gut Knife | Damascus Steel (Minimal Wear)@145.9@138.605
★ Bayonet | Forest DDPAT (Battle-Scarred)@220.68@209.646
StatTrak™ M4A1-S | Cyrex (Well-Worn)@102.13@97.02349999999998
★ Gut Knife | Case Hardened (Minimal Wear)@232.18@220.571
★ Gut Knife | Case Hardened (Field-Tested)@189.58@180.101
★ Flip Knife | Night (Well-Worn)@219.0@208.04999999999998
★ Bayonet | Boreal Forest (Battle-Scarred)@215.23@204.46849999999998
★ StatTrak™ Flip Knife | Boreal Forest (Battle-Scarred)@200.0@190.0
StatTrak™ AK-47 | Jaguar (Field-Tested)@168.29@159.8755
★ Bayonet | Urban Masked (Battle-Scarred)@302.95@287.80249999999995
★ Bayonet | Safari Mesh (Battle-Scarred)@236.95@225.1025
★ Gut Knife | Case Hardened (Well-Worn)@269.2@255.73999999999998
★ Gut Knife | Blue Steel (Minimal Wear)@171.0@162.45
★ Falchion Knife | Boreal Forest (Well-Worn)@151.14@143.58299999999997
★ StatTrak™ Flip Knife | Urban Masked (Field-Tested)@277.42@263.549
★ StatTrak™ Gut Knife | Forest DDPAT (Field-Tested)@149.99@142.4905
Souvenir CZ75-Auto | Chalice (Minimal Wear)@250.0@237.5
★ Falchion Knife | Forest DDPAT (Minimal Wear)@155.41@147.6395
★ Falchion Knife | Stained (Well-Worn)@151.56@143.982
★ Flip Knife | Stained (Minimal Wear)@256.51@243.68449999999999
★ Falchion Knife | Stained (Battle-Scarred)@150.47@142.9465
★ Bayonet | Safari Mesh (Field-Tested)@217.5@206.625
★ Huntsman Knife | Urban Masked (Well-Worn)@174.12@165.414
Souvenir USP-S | Road Rash (Field-Tested)@24.09@22.8855
★ Flip Knife | Forest DDPAT (Minimal Wear)@211.46@200.887
StatTrak™ AK-47 | Jaguar (Well-Worn)@135.26@128.49699999999999
★ Falchion Knife | Night (Battle-Scarred)@242.25@230.1375
★ StatTrak™ Flip Knife | Scorched (Field-Tested)@266.93@253.5835
Souvenir SSG 08 | Detour (Factory New)@11.76@11.171999999999999
★ Flip Knife | Urban Masked (Minimal Wear)@231.98@220.38099999999997
★ Gut Knife | Case Hardened (Battle-Scarred)@175.79@167.0005
★ StatTrak™ Flip Knife | Safari Mesh (Field-Tested)@202.91@192.7645
★ Falchion Knife | Urban Masked (Minimal Wear)@185.15@175.89249999999998
★ Gut Knife | Damascus Steel (Field-Tested)@143.47@136.29649999999998
★ StatTrak™ Gut Knife | Urban Masked (Field-Tested)@168.42@159.99899999999997
★ StatTrak™ Falchion Knife | Safari Mesh (Field-Tested)@152.4@144.78
★ Huntsman Knife | Scorched (Well-Worn)@163.81@155.6195
★ Falchion Knife | Boreal Forest (Field-Tested)@151.25@143.6875
AK-47 | Aquamarine Revenge (Minimal Wear)@75.49@71.71549999999999
★ Gut Knife | Crimson Web (Field-Tested)@159.89@151.89549999999997
★ Huntsman Knife | Scorched (Field-Tested)@146.82@139.47899999999998
★ Flip Knife | Boreal Forest (Minimal Wear)@198.2@188.29
★ Gut Knife | Blue Steel (Field-Tested)@156.99@149.1405
★ Huntsman Knife | Boreal Forest (Well-Worn)@178.08@169.17600000000002
★ Gut Knife | Blue Steel (Well-Worn)@150.36@142.842
★ Gut Knife | Crimson Web (Well-Worn)@148.99@141.5405
★ Falchion Knife | Safari Mesh (Minimal Wear)@152.74@145.103
StatTrak™ AK-47 | Aquamarine Revenge (Battle-Scarred)@77.48@73.606
★ Flip Knife | Rust Coat (Battle-Scarred)@217.24@206.378
★ Huntsman Knife | Urban Masked (Battle-Scarred)@168.3@159.885
★ StatTrak™ Gut Knife | Night (Battle-Scarred)@175.0@166.25
★ Huntsman Knife | Urban Masked (Field-Tested)@153.84@146.148
★ Flip Knife@396.25@376.4375
★ StatTrak™ Gut Knife | Boreal Forest (Field-Tested)@145.06@137.807
★ Huntsman Knife | Boreal Forest (Field-Tested)@150.8@143.26
StatTrak™ P250 | Mehndi (Factory New)@66.31@62.9945
★ Flip Knife | Ultraviolet (Battle-Scarred)@234.63@222.89849999999998
★ Flip Knife | Stained (Field-Tested)@220.74@209.703
★ Huntsman Knife | Safari Mesh (Well-Worn)@163.92@155.724
Souvenir FAMAS | Styx (Factory New)@99.4@94.43
★ Falchion Knife | Scorched (Field-Tested)@148.67@141.23649999999998
★ StatTrak™ Gut Knife | Boreal Forest (Well-Worn)@180.0@171.0
★ Falchion Knife | Urban Masked (Well-Worn)@163.3@155.135
