name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
MAG-7 | Justice (Factory New)@10.24@9.728@16.68@14.6784@shadowpay@skinport@4.44
MAG-7 | Prism Terrace (Field-Tested)@45.0@42.75@111.29@97.9352@shadowpay@skinport@52.94
MP5-SD | Agent (Factory New)@2.15@2.0425@5.66@4.9808@shadowpay@skinport@2.83
MP5-SD | Autumn Twilly (Well-Worn)@2.47@2.3465000000000003@9.09@7.9992@shadowpay@skinport@5.53
MP7 | Abyssal Apparition (Factory New)@9.45@8.9775@14.45@12.716@shadowpay@skinport@3.27
MP7 | Fade (Factory New)@11.5@10.925@15.46@13.6048@shadowpay@skinport@2.1
MP7 | Fade (Field-Tested)@5.88@5.585999999999999@10.56@9.2928@shadowpay@skinport@3.41
Music Kit | Austin Wintory, Desert Fire@3.07@2.9165@6.89@6.0632@shadowpay@skinport@2.99
Music Kit | Damjan Mravunac, The Talos Principle@3.47@3.2965@14.76@12.9888@shadowpay@skinport@9.52
Music Kit | Daniel Sadowski, The 8-Bit Kit@3.13@2.9735@6.67@5.8696@shadowpay@skinport@2.74
Music Kit | Daniel Sadowski, Total Domination@2.71@2.5745@6.67@5.8696@shadowpay@skinport@3.16
Music Kit | Ian Hultquist, Lion's Mouth@3.17@3.0115@8.67@7.6296@shadowpay@skinport@4.46
Music Kit | Mord Fustang, Diamonds@2.88@2.736@6.12@5.3856@shadowpay@skinport@2.51
Music Kit | New Beat Fund, Sponge Fingerz@2.87@2.7265@11.12@9.7856@shadowpay@skinport@6.92
