name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
CZ75-Auto | Vendetta (Factory New)@1.05@0.924@9.0@8.82@skinport@csdeals@7.77
CZ75-Auto | Xiangliu (Field-Tested)@7.08@6.2304@18.0@17.64@skinport@csdeals@10.56
Desert Eagle | Blaze (Factory New)@600.0@528.0@829.69@813.0962000000001@skinport@csdeals@213.1
Desert Eagle | Cobalt Disruption (Factory New)@86.81@76.39280000000001@105.77@103.6546@skinport@csdeals@16.84
Desert Eagle | Cobalt Disruption (Minimal Wear)@69.56@61.2128@74.99@73.49019999999999@skinport@csdeals@3.93
Desert Eagle | Code Red (Field-Tested)@19.55@17.204@23.95@23.471@skinport@csdeals@3.92
Desert Eagle | Conspiracy (Factory New)@8.38@7.3744@19.99@19.5902@skinport@csdeals@11.21
Desert Eagle | Directive (Factory New)@9.59@8.4392@25.0@24.5@skinport@csdeals@14.91
Desert Eagle | Emerald Jörmungandr (Minimal Wear)@264.62@232.8656@385.0@377.3@skinport@csdeals@112.68
Desert Eagle | Fennec Fox (Battle-Scarred)@330.6@290.928@500.0@490.0@skinport@csdeals@159.4
Desert Eagle | Fennec Fox (Field-Tested)@334.0@293.92@399.9@391.902@skinport@csdeals@57.9
Desert Eagle | Golden Koi (Factory New)@80.12@70.5056@99.09@97.1082@skinport@csdeals@16.99
Desert Eagle | Heirloom (Minimal Wear)@6.14@5.4032@8.99@8.8102@skinport@csdeals@2.67
Desert Eagle | Hypnotic (Factory New)@118.41@104.2008@149.99@146.99020000000002@skinport@csdeals@28.58
Desert Eagle | Kumicho Dragon (Factory New)@31.16@27.4208@36.42@35.6916@skinport@csdeals@4.53
Desert Eagle | Midnight Storm (Factory New)@22.39@19.7032@30.99@30.3702@skinport@csdeals@7.98
Desert Eagle | Midnight Storm (Minimal Wear)@18.61@16.3768@23.99@23.5102@skinport@csdeals@4.9
Desert Eagle | Mudder (Factory New)@0.81@0.7128000000000001@6.0@5.88@skinport@csdeals@5.07
Desert Eagle | Ocean Drive (Minimal Wear)@45.22@39.7936@54.99@53.8902@skinport@csdeals@8.67
Desert Eagle | Ocean Drive (Well-Worn)@14.35@12.628@18.99@18.6102@skinport@csdeals@4.26
Desert Eagle | Printstream (Battle-Scarred)@33.38@29.3744@37.99@37.2302@skinport@csdeals@3.85
Desert Eagle | Printstream (Factory New)@100.16@88.1408@129.99@127.3902@skinport@csdeals@27.23
Desert Eagle | Printstream (Minimal Wear)@59.26@52.1488@65.99@64.6702@skinport@csdeals@5.41
Desert Eagle | Printstream (Well-Worn)@36.73@32.322399999999995@43.99@43.1102@skinport@csdeals@6.38
Desert Eagle | Sunset Storm 弐 (Factory New)@319.24@280.9312@400.81@392.7938@skinport@csdeals@73.55
DreamHack Cluj-Napoca 2015 Legends (Foil)@21.86@19.2368@29.95@29.351@skinport@csdeals@7.49
★ Driver Gloves | Black Tie (Battle-Scarred)@118.08@103.9104@145.31@142.4038@skinport@csdeals@24.32
★ Driver Gloves | Black Tie (Field-Tested)@202.4@178.112@222.67@218.2166@skinport@csdeals@15.82
★ Driver Gloves | Queen Jaguar (Battle-Scarred)@63.09@55.519200000000005@89.06@87.2788@skinport@csdeals@24.19
★ Driver Gloves | Racing Green (Field-Tested)@44.5@39.16@52.0@50.96@skinport@csdeals@6.46
★ Driver Gloves | Rezan the Red (Field-Tested)@81.36@71.5968@100.0@98.0@skinport@csdeals@16.64
D Squadron Officer | NZSAS@16.15@14.211999999999998@19.99@19.5902@skinport@csdeals@3.44
Dual Berettas | Balance (Factory New)@3.44@3.0272@13.0@12.74@skinport@csdeals@9.3
Dual Berettas | Black Limba (Factory New)@24.09@21.1992@60.0@58.8@skinport@csdeals@34.71
Dual Berettas | Cartel (Factory New)@1.44@1.2672@11.0@10.78@skinport@csdeals@9.34
Dual Berettas | Dezastre (Well-Worn)@1.52@1.3376@3.8@3.724@skinport@csdeals@2.2
Dual Berettas | Drift Wood (Factory New)@2.21@1.9448@20.0@19.6@skinport@csdeals@17.39
