name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
UMP-45 | Bone Pile (Field-Tested)@3.41@3.2395@5.82@5.529@skinwallet@shadowpay@2.12
UMP-45 | Momentum (Well-Worn)@2.29@2.1755@4.95@4.7025@skinwallet@shadowpay@2.41
USP-S | Blueprint (Well-Worn)@4.44@4.218@7.09@6.735499999999999@skinwallet@shadowpay@2.3
USP-S | Kill Confirmed (Field-Tested)@39.12@37.164@46.65@44.3175@skinwallet@shadowpay@5.2
USP-S | Kill Confirmed (Minimal Wear)@64.37@61.1515@78.97@75.02149999999999@skinwallet@shadowpay@10.65
USP-S | Kill Confirmed (Well-Worn)@31.8@30.21@44.78@42.541@skinwallet@shadowpay@10.74
USP-S | Orion (Factory New)@48.79@46.3505@64.43@61.2085@skinwallet@shadowpay@12.42
USP-S | Orion (Minimal Wear)@39.74@37.753@54.89@52.1455@skinwallet@shadowpay@12.41
USP-S | Printstream (Battle-Scarred)@30.82@29.279@35.86@34.067@skinwallet@shadowpay@3.25
USP-S | The Traitor (Factory New)@45.45@43.1775@54.78@52.041@skinwallet@shadowpay@6.59
USP-S | The Traitor (Minimal Wear)@15.36@14.592@21.15@20.0925@skinwallet@shadowpay@4.73
Winter Offensive Weapon Case@4.42@4.199@7.41@7.039499999999999@skinwallet@shadowpay@2.62
★ Bayonet | Black Laminate (Well-Worn)@296.58@281.751@413.07@392.4165@skinwallet@shadowpay@95.84
★ Bowie Knife | Case Hardened (Minimal Wear)@225.0@213.75@288.98@274.531@skinwallet@shadowpay@49.53
★ Butterfly Knife | Black Laminate (Well-Worn)@859.34@816.373@1129.79@1073.3004999999998@skinwallet@shadowpay@213.96
★ Butterfly Knife | Damascus Steel (Factory New)@945.74@898.453@1702.75@1617.6125@skinwallet@shadowpay@671.87
★ Butterfly Knife | Stained (Factory New)@1200.0@1140.0@1655.24@1572.4779999999998@skinwallet@shadowpay@372.48
★ Classic Knife | Crimson Web (Battle-Scarred)@249.9@237.405@568.4@539.9799999999999@skinwallet@shadowpay@290.08
★ Driver Gloves | Black Tie (Field-Tested)@176.8@167.96@225.0@213.75@skinwallet@shadowpay@36.95
★ Driver Gloves | Imperial Plaid (Battle-Scarred)@178.97@170.0215@212.1@201.495@skinwallet@shadowpay@22.53
★ Driver Gloves | Racing Green (Field-Tested)@37.62@35.739@54.8@52.06@skinwallet@shadowpay@14.44
★ Driver Gloves | Rezan the Red (Field-Tested)@66.64@63.308@85.95@81.6525@skinwallet@shadowpay@15.01
★ Falchion Knife | Black Laminate (Well-Worn)@96.75@91.9125@124.44@118.218@skinwallet@shadowpay@21.47
★ Falchion Knife | Blue Steel (Minimal Wear)@125.12@118.864@169.41@160.93949999999998@skinwallet@shadowpay@35.82
★ Falchion Knife | Night (Field-Tested)@100.71@95.6745@123.7@117.515@skinwallet@shadowpay@16.81
★ Flip Knife | Night (Field-Tested)@169.99@161.4905@229.41@217.9395@skinwallet@shadowpay@47.95
