name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
★ Butterfly Knife | Lore (Battle-Scarred)@1079.5@949.96@1180.0@1121.0@skinport@shadowpay@41.5
★ Butterfly Knife | Lore (Field-Tested)@1669.34@1469.0192@2180.0@2071.0@skinport@shadowpay@401.66
★ Butterfly Knife | Lore (Well-Worn)@1309.19@1152.0872000000002@1740.0@1653.0@skinport@shadowpay@343.81
★ Butterfly Knife | Marble Fade (Factory New)@2335.96@2055.6448@2519.99@2393.9905@skinport@shadowpay@58.03
★ Butterfly Knife | Night (Field-Tested)@766.78@674.7664@1448.31@1375.8945@skinport@shadowpay@609.11
★ Butterfly Knife | Night (Minimal Wear)@973.77@856.9176@1109.07@1053.6165@skinport@shadowpay@79.85
★ Butterfly Knife | Night (Well-Worn)@667.73@587.6024@1324.86@1258.6169999999995@skinport@shadowpay@590.89
★ Butterfly Knife | Rust Coat (Battle-Scarred)@683.76@601.7088@869.0@825.55@skinport@shadowpay@141.79
★ Butterfly Knife | Scorched (Field-Tested)@578.7@509.256@635.0@603.25@skinport@shadowpay@24.55
★ Butterfly Knife | Scorched (Minimal Wear)@651.04@572.9152@1267.27@1203.9064999999998@skinport@shadowpay@552.87
★ Butterfly Knife | Slaughter (Minimal Wear)@1446.76@1273.1488@1923.35@1827.1825@skinport@shadowpay@380.42
★ Butterfly Knife | Tiger Tooth (Minimal Wear)@1813.09@1595.5192@2400.0@2280.0@skinport@shadowpay@466.91
★ Butterfly Knife | Ultraviolet (Battle-Scarred)@682.19@600.3272000000001@787.58@748.201@skinport@shadowpay@66.01
★ Butterfly Knife | Ultraviolet (Minimal Wear)@1186.17@1043.8296@1300.0@1235.0@skinport@shadowpay@48.83
★ Butterfly Knife | Ultraviolet (Well-Worn)@758.98@667.9024000000001@835.0@793.25@skinport@shadowpay@34.27
★ Classic Knife@410.65@361.372@529.98@503.481@skinport@shadowpay@92.83
★ Classic Knife | Blue Steel (Battle-Scarred)@179.52@157.97760000000002@213.72@203.034@skinport@shadowpay@23.51
★ Classic Knife | Blue Steel (Field-Tested)@174.57@153.6216@191.42@181.849@skinport@shadowpay@7.28
★ Classic Knife | Blue Steel (Minimal Wear)@209.0@183.92@230.71@219.1745@skinport@shadowpay@10.17
★ Classic Knife | Boreal Forest (Field-Tested)@141.59@124.5992@165.35@157.08249999999998@skinport@shadowpay@15.49
★ Classic Knife | Boreal Forest (Minimal Wear)@155.79@137.0952@200.0@190.0@skinport@shadowpay@34.21
★ Classic Knife | Case Hardened (Battle-Scarred)@205.87@181.1656@374.56@355.832@skinport@shadowpay@149.96
★ Classic Knife | Case Hardened (Field-Tested)@250.39@220.3432@286.99@272.6405@skinport@shadowpay@22.25
★ Classic Knife | Case Hardened (Minimal Wear)@344.22@302.91360000000003@389.99@370.4905@skinport@shadowpay@26.27
★ Classic Knife | Case Hardened (Well-Worn)@249.77@219.7976@278.12@264.214@skinport@shadowpay@14.44
★ Classic Knife | Crimson Web (Battle-Scarred)@298.0@262.24@568.4@539.9799999999999@skinport@shadowpay@241.98
★ Classic Knife | Crimson Web (Minimal Wear)@378.38@332.9744@462.35@439.2325@skinport@shadowpay@60.85
★ Classic Knife | Fade (Factory New)@800.0@704.0@999.98@949.981@skinport@shadowpay@149.98
★ Classic Knife | Forest DDPAT (Field-Tested)@136.76@120.3488@151.54@143.963@skinport@shadowpay@7.2
★ Classic Knife | Forest DDPAT (Minimal Wear)@173.62@152.78560000000002@193.99@184.2905@skinport@shadowpay@10.67
★ Classic Knife | Night Stripe (Battle-Scarred)@195.65@172.172@239.28@227.316@skinport@shadowpay@31.67
★ Classic Knife | Night Stripe (Field-Tested)@173.15@152.372@200.83@190.7885@skinport@shadowpay@17.64
