name@price_x@price_after_sell_x@price_y@price_after_sell_y@BUY X@SELL Y@profit
'Medium Rare' Crasswater | Guerrilla Warfare@9.6@9.12@15.99@15.6702@shadowpay@csdeals@6.07
Dual Berettas | Cartel (Factory New)@1.15@1.0924999999999998@11.0@10.78@shadowpay@csdeals@9.63
Dual Berettas | Drift Wood (Factory New)@1.67@1.5864999999999998@20.0@19.6@shadowpay@csdeals@17.93
Dual Berettas | Dualing Dragons (Factory New)@1.55@1.4725@12.0@11.76@shadowpay@csdeals@10.21
Dual Berettas | Elite 1.6 (Factory New)@0.25@0.2375@5.0@4.9@shadowpay@csdeals@4.65
Dual Berettas | Marina (Factory New)@26.12@24.814@45.0@44.1@shadowpay@csdeals@17.98
Dual Berettas | Melondrama (Field-Tested)@1.92@1.824@4.1@4.018@shadowpay@csdeals@2.1
Dual Berettas | Moon in Libra (Minimal Wear)@2.9@2.755@7.0@6.859999999999999@shadowpay@csdeals@3.96
Dual Berettas | Switch Board (Factory New)@1.85@1.7575@11.0@10.78@shadowpay@csdeals@8.93
Dual Berettas | Tread (Factory New)@1.42@1.349@8.0@7.84@shadowpay@csdeals@6.42
Elite Trapper Solman | Guerrilla Warfare@9.87@9.376499999999998@14.99@14.6902@shadowpay@csdeals@4.82
ESL One Cologne 2015 Legends (Foil)@22.6@21.47@25.44@24.9312@shadowpay@csdeals@2.33
eSports 2013 Case@43.74@41.553@49.99@48.9902@shadowpay@csdeals@5.25
FAMAS | Cyanospatter (Factory New)@1.18@1.121@8.0@7.84@shadowpay@csdeals@6.66
